0.000001,3.201500
0.000002,3.105940
0.000003,3.013232
0.000004,2.923292
0.000005,2.836036
0.000006,2.751385
0.000007,2.669260
0.000008,2.589587
0.000009,2.512291
0.000010,2.437303
0.000011,2.364553
0.000012,2.293975
0.000013,2.225503
0.000014,2.159075
0.000015,2.094630
0.000016,2.032109
0.000017,1.971453
0.000018,1.912608
0.000019,1.855520
0.000020,1.800135
0.000021,1.746404
0.000022,1.694276
0.000023,1.643705
0.000024,1.594643
0.000025,1.547045
0.000026,1.500868
0.000027,1.456069
0.000028,1.412608
0.000029,1.370444
0.000030,1.329538
0.000031,1.289853
0.000032,1.251353
0.000033,1.214002
0.000034,1.177766
0.000035,1.142611
0.000036,1.108506
0.000037,1.075419
0.000038,1.043319
0.000039,1.012178
0.000040,0.981966
0.000041,0.952656
0.000042,0.924220
0.000043,0.896634
0.000044,0.869871
0.000045,0.843906
0.000046,0.818717
0.000047,0.794279
0.000048,0.770571
0.000049,0.747571
0.000050,0.725257
